id,source,source_subset,src_lang,tgt_lang,src_text,tgt_text,source_id,license,quality_status,verification_status,notes
TT-V2-SEED-0011,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,किताब बंद करो,ᱯᱩᱛᱷᱤ ᱵᱚᱸᱫᱽ ᱢᱮ,legacy_seed_row_11,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0012,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,लिखना शुरू करो,ᱚᱞ ᱮᱦᱚᱵ ᱢᱮ,legacy_seed_row_12,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0013,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,शांत रहो,ᱛᱷᱤᱨ ᱛᱟᱦᱮᱸᱱ ᱯᱮ,legacy_seed_row_13,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0014,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,बैठ जाओ,ᱫᱩᱲᱩᱵ ᱯᱮ,legacy_seed_row_14,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0015,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,खड़े हो जाओ,ᱛᱤᱸᱜᱩᱱ ᱯᱮ,legacy_seed_row_15,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0016,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,यहाँ आओ,ᱱᱚᱰᱮ ᱦᱤᱡᱩᱜ ᱢᱮ,legacy_seed_row_16,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0017,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,वहाँ जाओ,ᱦᱟᱸᱰᱮ ᱪᱟᱞᱟᱜ ᱢᱮ,legacy_seed_row_17,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0018,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,ब्लैकबोर्ड देखो,ᱵᱚᱨᱰ ᱧᱮᱞ ᱢᱮ,legacy_seed_row_18,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0019,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,ध्यान से सुनो,ᱫᱷᱮᱭᱟᱱ ᱛᱮ ᱟᱧᱡᱚᱢ ᱢᱮ,legacy_seed_row_19,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0020,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,बहुत अच्छा काम,ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱹᱢᱤ,legacy_seed_row_20,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0021,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,शाबाश बच्चों,ᱥᱟᱵᱟᱥ ᱜᱤᱫᱽᱨᱟᱹ,legacy_seed_row_21,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0022,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मुझे समझ नहीं आया,ᱵᱟᱹᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱫᱟᱲᱮᱭᱟᱫᱟ,legacy_seed_row_22,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0023,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,क्या आप मदद कर सकते हैं?,ᱪᱮᱫ ᱟᱢ ᱜᱚᱲᱚ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ?,legacy_seed_row_23,APACHE-2.0,NEEDS_REVIEW,HUMAN_EXPERT_VERIFIED,Contains ASCII hyphen instead of Ol Chiki Phaarkaa (U+1C7C); pending review
TT-V2-SEED-0024,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,पानी पीना है,ᱫᱟᱜ ᱧᱩ ᱥᱟᱱᱟᱹᱧ ᱠᱟᱱᱟ,legacy_seed_row_24,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0025,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मुझे भूख लगी है,ᱤᱧ ᱨᱮᱸᱜᱮᱡ ᱠᱟᱱᱟ,legacy_seed_row_25,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0026,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मुझे घर जाना है,ᱤᱧ ᱚᱲᱟᱜ ᱪᱟᱞᱟᱜ ᱥᱟᱱᱟᱹᱧ ᱠᱟᱱᱟ,legacy_seed_row_26,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0027,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,फिर से समझाइए,ᱟᱨᱦᱚᱸ ᱢᱤᱫ ᱫᱷᱟᱣ ᱞᱟᱹᱭ ᱢᱮ,legacy_seed_row_27,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0028,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,मेरा काम पूरा हो गया,ᱤᱧᱟᱜ ᱠᱟᱹᱢᱤ ᱯᱩᱨᱟᱹᱣ ᱮᱱᱟ,legacy_seed_row_28,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0029,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,एक दो तीन चार,ᱢᱤᱫ ᱵᱟᱨ ᱯᱮ ᱯᱩᱱ,legacy_seed_row_29,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0030,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,पांच छह सात आठ नौ दस,ᱢᱚᱬᱮ ᱛᱩᱨᱩᱭ ᱮᱭᱟᱭ ᱤᱨᱟᱹᱞ ᱟᱨᱮ ᱜᱮᱞ,legacy_seed_row_30,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0031,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,गिनती करो,ᱞᱮᱠᱷᱟᱭ ᱢᱮ,legacy_seed_row_31,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0032,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,जोड़ो,ᱢᱮᱥᱟᱭ ᱢᱮ,legacy_seed_row_32,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0033,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,घटाओ,ᱚᱪᱚᱜ ᱢᱮ,legacy_seed_row_33,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0034,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,कितने सेब हैं?,ᱛᱤᱱᱟᱹᱜ ᱥᱮᱣ ᱢᱮᱱᱟᱜ-ᱟ?,legacy_seed_row_34,APACHE-2.0,NEEDS_REVIEW,HUMAN_EXPERT_VERIFIED,Contains ASCII hyphen instead of Ol Chiki Phaarkaa (U+1C7C); pending review
TT-V2-SEED-0035,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,पाँच और तीन आठ होते हैं,ᱢᱚᱬᱮ ᱟᱨ ᱯᱮ ᱤᱨᱟᱹᱞ ᱦᱩᱭᱩᱜ-ᱟ,legacy_seed_row_35,APACHE-2.0,NEEDS_REVIEW,HUMAN_EXPERT_VERIFIED,Contains ASCII hyphen instead of Ol Chiki Phaarkaa (U+1C7C); pending review
TT-V2-SEED-0036,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,दो में दो जोड़ने पर चार होता है,ᱵᱟᱨ ᱨᱮ ᱵᱟᱨ ᱢᱮᱥᱟ ᱞᱮᱠᱷᱟᱱ ᱯᱩᱱ ᱦᱩᱭᱩᱜ-ᱟ,legacy_seed_row_36,APACHE-2.0,NEEDS_REVIEW,HUMAN_EXPERT_VERIFIED,Contains ASCII hyphen instead of Ol Chiki Phaarkaa (U+1C7C); pending review
TT-V2-SEED-0037,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,कल बारिश होगी,ᱜᱟᱯᱟ ᱫᱟᱜ ᱡᱟᱹᱲᱤ ᱦᱩᱭᱩᱜ-ᱟ,legacy_seed_row_37,APACHE-2.0,NEEDS_REVIEW,HUMAN_EXPERT_VERIFIED,Contains ASCII hyphen instead of Ol Chiki Phaarkaa (U+1C7C); pending review
TT-V2-SEED-0038,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,आज बहुत गर्मी है,ᱛᱮᱦᱮᱧ ᱟᱹᱰᱤ ᱞᱚᱞᱚ ᱜᱮᱭᱟ,legacy_seed_row_38,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0039,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,आज बहुत ठंड है,ᱛᱮᱦᱮᱧ ᱟᱹᱰᱤ ᱨᱮᱭᱟᱲ ᱜᱮᱭᱟ,legacy_seed_row_39,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0040,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,आज मौसम बहुत सुहावना है,ᱛᱮᱦᱮᱧ ᱦᱚᱭ-ᱦᱤᱥᱤᱫ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ,legacy_seed_row_40,APACHE-2.0,NEEDS_REVIEW,HUMAN_EXPERT_VERIFIED,Contains ASCII hyphen instead of Ol Chiki Phaarkaa (U+1C7C); pending review
TT-V2-SEED-0041,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,सूरज पूरब में उगता है,ᱪᱟᱸᱫᱚ ᱥᱟᱢᱟᱝ ᱨᱮ ᱨᱟᱠᱟᱵ-ᱟ,legacy_seed_row_41,APACHE-2.0,NEEDS_REVIEW,HUMAN_EXPERT_VERIFIED,Contains ASCII hyphen instead of Ol Chiki Phaarkaa (U+1C7C); pending review
TT-V2-SEED-0042,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,पेड़ हमें छाया देते हैं,ᱫᱟᱨᱮ ᱟᱵᱚ ᱩᱢᱩᱞ ᱮᱢᱟᱵᱚᱱᱟ,legacy_seed_row_42,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0043,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,नदी में पानी बह रहा है,ᱜᱟᱰᱟ ᱨᱮ ᱫᱟᱜ ᱞᱤᱸᱜᱤᱱ ᱠᱟᱱᱟ,legacy_seed_row_43,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0044,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,पक्षी आकाश में उड़ रहे हैं,ᱪᱮᱬᱮ ᱥᱮᱨᱢᱟ ᱨᱮᱠᱚ ᱩᱰᱟᱹᱣᱜ ᱠᱟᱱᱟ,legacy_seed_row_44,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0045,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,फूल बहुत सुंदर हैं,ᱵᱟᱦᱟ ᱟᱹᱰᱤ ᱪᱚᱨᱚᱠ ᱜᱮᱭᱟ,legacy_seed_row_45,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0046,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,यह मेरा परिवार है,ᱱᱚᱣᱟ ᱤᱧᱟᱜ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱠᱟᱱᱟ,legacy_seed_row_46,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0047,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,यह मेरी माँ है,ᱱᱩᱭ ᱤᱧ ᱟᱭᱳ ᱠᱟᱱᱟᱭ,legacy_seed_row_47,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0048,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,यह मेरे पिता हैं,ᱱᱩᱭ ᱤᱧ ᱵᱟᱵᱟ ᱠᱟᱱᱟᱭ,legacy_seed_row_48,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0049,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,यह मेरा भाई है,ᱱᱩᱭ ᱤᱧ ᱵᱚᱭᱦᱟ ᱠᱟᱱᱟᱭ,legacy_seed_row_49,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0050,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,यह मेरी बहन है,ᱱᱩᱭ ᱤᱧ ᱢᱤᱥᱤ ᱠᱟᱱᱟᱭ,legacy_seed_row_50,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0051,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,वह मेरा दोस्त है,ᱩᱱᱤ ᱤᱧᱤᱡ ᱜᱟᱛᱮ ᱠᱟᱱᱟᱭ,legacy_seed_row_51,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0052,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,हम सब साथ खेलते हैं,ᱟᱵᱚ ᱡᱚᱛᱚ ᱢᱤᱫ ᱛᱮᱵᱚᱱ ᱮᱱᱮᱡ-ᱟ,legacy_seed_row_52,APACHE-2.0,NEEDS_REVIEW,HUMAN_EXPERT_VERIFIED,Contains ASCII hyphen instead of Ol Chiki Phaarkaa (U+1C7C); pending review
TT-V2-SEED-0053,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,स्कूल बहुत सुंदर है,ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱟᱹᱰᱤ ᱪᱚᱨᱚᱠ ᱜᱮᱭᱟ,legacy_seed_row_53,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0054,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,गुरुजी आ रहे हैं,ᱢᱟᱪᱮᱛ ᱦᱤᱡᱩᱜ ᱠᱟᱱᱟᱭ,legacy_seed_row_54,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0055,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,हम पाठ पढ़ रहे हैं,ᱟᱵᱚ ᱯᱟᱴᱷ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ,legacy_seed_row_55,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0056,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,रोटी खाओ,ᱨᱩᱴᱤ ᱡᱚᱢ ᱢᱮ,legacy_seed_row_56,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0057,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,दूध पियो,ᱛᱳᱣᱟ ᱧᱩᱭ ᱢᱮ,legacy_seed_row_57,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0058,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,समय पर स्कूल आओ,ᱚᱠᱛᱚ ᱨᱮ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱦᱤᱡᱩᱜ ᱢᱮ,legacy_seed_row_58,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0059,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,सच बोलो,ᱥᱟᱹᱨᱤ ᱠᱟᱛᱷᱟ ᱨᱚᱲ ᱢᱮ,legacy_seed_row_59,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
TT-V2-SEED-0060,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,झूठ मत बोलो,ᱮᱲᱮ ᱟᱞᱚᱢ ᱨᱚᱲ-ᱟ,legacy_seed_row_60,APACHE-2.0,NEEDS_REVIEW,HUMAN_EXPERT_VERIFIED,Contains ASCII hyphen instead of Ol Chiki Phaarkaa (U+1C7C); pending review
TT-V2-SEED-0061,TRIBETALK_SEED,classroom_curriculum_base,hin_Deva,sat_Olck,सफाई रखो,ᱥᱟᱯᱷᱟ ᱫᱚᱦᱚᱭ ᱯᱮ,legacy_seed_row_61,APACHE-2.0,VALID,HUMAN_EXPERT_VERIFIED,Clean baseline hand-curated seed pair
