id,source,source_subset,src_lang,tgt_lang,src_text,tgt_text,domain,license,quality_status,verification_status,review_notes,source_id
TT-V2-COMB-00192,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,तो?,ᱢᱮᱱᱠᱷᱟᱱ ?,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.00),hin:4078417|sat:11165077|via_eng:1014545
TT-V2-COMB-00227,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,जा!,ᱪᱟᱞᱟᱜ ᱢᱮ ᱾,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.33),hin:4057589|sat:11163955|via_eng:1148335
TT-V2-COMB-00274,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,सुन!,ᱟᱧᱡᱚᱢ ᱢᱮ ᱥᱮ !,classroom_commands,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.25),hin:4078422|sat:11193337|via_eng:1319588
TT-V2-COMB-00280,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,पक्का?,ᱟᱢ ᱜᱚᱴᱟ ᱛᱮ ᱢᱮᱱᱟᱢᱟ?,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.00),hin:2060327|sat:12527852|via_eng:1326
TT-V2-COMB-00289,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,छी!,ᱪᱷᱤ ᱪᱷᱤ !,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.00),hin:6179191|sat:11193339|via_eng:1342184
TT-V2-COMB-00291,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,छी!,ᱵᱟᱱᱴᱷᱤᱠ !,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.00),hin:6179191|sat:11193340|via_eng:1342184
TT-V2-COMB-00429,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,आगे आओ।,ᱢᱟᱲᱟᱝ ᱛᱮ ᱦᱟᱹᱡᱩᱜ ᱢᱮ ᱾,classroom_commands,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (2.86),hin:4383896|sat:11179766|via_eng:2111931
TT-V2-COMB-00483,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,आ!,ᱫᱮᱞᱟ !,numeracy,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.00),hin:6829747|sat:11174846|via_eng:24697
TT-V2-COMB-00547,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,बहुत गरम था।,ᱟᱹᱰᱤ ᱞᱚᱞᱚ ᱜᱮ ᱵᱩᱡᱷᱟᱹᱣᱜ ᱠᱟᱱ ᱛᱟᱦᱮᱸᱡ ᱾,teacher_student_dialogue,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (2.83),hin:3667924|sat:11217419|via_eng:275958
TT-V2-COMB-00581,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,जा।,ᱪᱟᱞᱟᱜ ᱢᱮ ᱾,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.33),hin:4078545|sat:11163955|via_eng:2877272
TT-V2-COMB-00642,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,पता है।,ᱤᱧ ᱵᱟᱲᱟᱭ ᱠᱟᱹᱫᱮᱭᱟᱹᱧ ᱾,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (2.86),hin:4638776|sat:11175511|via_eng:319990
TT-V2-COMB-00709,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,सच?,ᱥᱟᱹᱨᱤ ᱜᱮ ?,assessment,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.33),hin:4078391|sat:11164020|via_eng:373216
TT-V2-COMB-00711,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,सच?,ᱥᱟᱹᱨᱤ ᱪᱮ ?,assessment,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.33),hin:4078391|sat:11193262|via_eng:373216
TT-V2-COMB-00754,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,हटो।,ᱯᱟᱹᱪᱷᱞᱟᱹᱜ ᱢᱮ ᱾,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.50),hin:11252768|sat:11236872|via_eng:40051
TT-V2-COMB-00859,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,बैठिए।,ᱫᱟᱭᱟᱠᱟᱛᱮ ᱫᱩᱲᱩᱵ ᱢᱮ᱾,classroom_commands,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.00),hin:478184|sat:10606264|via_eng:478180
TT-V2-COMB-00874,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,शाबाश!,ᱩᱱᱤ ᱫᱚ ᱠᱚᱲᱟ ᱠᱟᱱᱟᱭ!,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.00),hin:6179203|sat:10536929|via_eng:51144
TT-V2-COMB-00876,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,समझा?,ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱜᱼᱟᱢ ?,teacher_student_dialogue,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.20),hin:11371040|sat:11170108|via_eng:5135297
TT-V2-COMB-00877,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,समझे?,ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱜᱼᱟᱢ ?,teacher_student_dialogue,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.20),hin:11371041|sat:11170108|via_eng:5135297
TT-V2-COMB-00942,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,चला!,ᱜᱟᱹᱰᱤ ᱪᱟᱹᱞᱩ !,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.25),hin:11371068|sat:11184394|via_eng:6102430
TT-V2-COMB-01030,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,हाय.,ᱟᱹᱰᱤ ᱠᱷᱟᱨᱟᱯ ᱾,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.25),hin:6179141|sat:11184327|via_eng:858123
TT-V2-COMB-01049,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,आइए!,ᱦᱟᱹᱡᱩᱜ ᱢᱮ ᱭᱟ !,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.50),hin:4078410|sat:11193312|via_eng:890415
TT-V2-COMB-01061,TATOEBA,tatoeba_eng_graph_pivot,hin_Deva,sat_Olck,भाग!,ᱫᱟᱹᱲ ᱩᱛᱟᱹᱨ !,general_conversation,CC-BY-2.0-FR,NEEDS_REVIEW,AUTO_CLASSIFIED_NEEDS_REVIEW,Borderline character length ratio (3.00),hin:3315725|sat:11193315|via_eng:906328
