file,reference,prediction,normalized_reference,normalized_prediction,substitutions,deletions,insertions,wer,audio_duration_sec,latency_ms,rtf
common_voice_hi_23852754.mp3,मैं इतनी महंगी किताब नहीं ख़रीद सकता।,मैं इतनी महंगी किताब नहीं खरीद सकता,मैं इतनी महंगी किताब नहीं ख़रीद सकता,मैं इतनी महंगी किताब नहीं खरीद सकता,1,0,0,0.1429,3.65,110.15,0.03
common_voice_hi_23852768.mp3,वह बिल को तैरने ले गया।,वह बिल को तैरने ले गया,वह बिल को तैरने ले गया,वह बिल को तैरने ले गया,0,0,0,0.0,3.14,100.73,0.032
common_voice_hi_23901985.mp3,मुझे बस उसका नाम बता।,मुझे बस उसका नाम बता,मुझे बस उसका नाम बता,मुझे बस उसका नाम बता,0,0,0,0.0,4.22,126.89,0.03
common_voice_hi_24562178.mp3,कहाँ चले गए हो?,कहाँ चले गए हो,कहाँ चले गए हो,कहाँ चले गए हो,0,0,0,0.0,3.06,90.12,0.029
common_voice_hi_24639156.mp3,डिस्क टॉम को दे दीजिए।,डिस्क टॉम को दे दीजिए,डिस्क टॉम को दे दीजिए,डिस्क टॉम को दे दीजिए,0,0,0,0.0,3.64,106.61,0.029
common_voice_hi_24663123.mp3,वह स्पेनी है।,वह स्पेनी है,वह स्पेनी है,वह स्पेनी है,0,0,0,0.0,2.66,81.64,0.031
common_voice_hi_24663151.mp3,पूर्व ऑस्ट्रेलियाई गेंदबाज ब्रेट ली ने गर्लफ्रेंड लाना से की शादी,पूर्व ऑस्ट्रेलियाई गेंदबाज ब्रेट ली ने गर्लफ्रेंड लाना से की शादी,पूर्व ऑस्ट्रेलियाई गेंदबाज ब्रेट ली ने गर्लफ्रेंड लाना से की शादी,पूर्व ऑस्ट्रेलियाई गेंदबाज ब्रेट ली ने गर्लफ्रेंड लाना से की शादी,0,0,0,0.0,7.45,215.53,0.029
common_voice_hi_24663186.mp3,क्या करूँ? मैंने अपने-आप से पूछा।,क्या करूँ मैंने अपने आप से पूछा,क्या करूँ मैंने अपनेआप से पूछा,क्या करूँ मैंने अपने आप से पूछा,1,0,1,0.3333,3.1,83.7,0.027
common_voice_hi_24678275.mp3,कमरे में एक भी खिड़की नहीं थी।,कमरे में एक भी खिड़की नहीं थी,कमरे में एक भी खिड़की नहीं थी,कमरे में एक भी खिड़की नहीं थी,0,0,0,0.0,4.36,119.6,0.027
common_voice_hi_24829333.mp3,आप कैसे हैं?,आप कैसे हैं,आप कैसे हैं,आप कैसे हैं,0,0,0,0.0,2.92,86.55,0.03
common_voice_hi_24829390.mp3,उम्मीदों का शहर है स्टीलनगरी जमशेदपुर,उम्मीदों का शहर है स्टील नगरी जमशेदपुर,उम्मीदों का शहर है स्टीलनगरी जमशेदपुर,उम्मीदों का शहर है स्टील नगरी जमशेदपुर,1,0,1,0.3333,4.43,123.11,0.028
common_voice_hi_24924090.mp3,छत्तीसगढ़ में मेहनतकश मजदूर का बेटा बना डिप्टी कलेक्टर,छत्तीसगढ़ में मेहनतकस मजदूर का बेटा बना डिप्टी कलेक्टर,छत्तीसगढ़ में मेहनतकश मजदूर का बेटा बना डिप्टी कलेक्टर,छत्तीसगढ़ में मेहनतकस मजदूर का बेटा बना डिप्टी कलेक्टर,1,0,0,0.1111,7.31,206.62,0.028
common_voice_hi_24941365.mp3,आप इस गाड़ी के साथ क्या करने वाले हैं?,आप इस गाड़ी के साथ क्या करने वाले हैं,आप इस गाड़ी के साथ क्या करने वाले हैं,आप इस गाड़ी के साथ क्या करने वाले हैं,0,0,0,0.0,6.23,183.71,0.029
common_voice_hi_24956020.mp3,खुलासा: अफगानिस्तान में भारतीय दूतावास पर हुए हमले में था पाकिस्तान का हाथ,खुलासा अफगानिस्तान में भारतीय दूतावास पर हुए हमले में था पाकिस्तान का हाथ,खुलासा अफगानिस्तान में भारतीय दूतावास पर हुए हमले में था पाकिस्तान का हाथ,खुलासा अफगानिस्तान में भारतीय दूतावास पर हुए हमले में था पाकिस्तान का हाथ,0,0,0,0.0,7.2,186.65,0.026
common_voice_hi_24969567.mp3,डब्बे की विषय-सूची उसके टैग पर लिखी हुई है।,डब्बे की विशेष सूचि उसके टैग पर लिखी हुई है,डब्बे की विषयसूची उसके टैग पर लिखी हुई है,डब्बे की विशेष सूचि उसके टैग पर लिखी हुई है,1,0,1,0.2222,5.62,157.53,0.028
common_voice_hi_24969852.mp3,अजलान शाह हॉकी: पाकिस्तान को हराकर भारत ने खोला जीत का खाता,अजलान शाह हॉकी पाकिस्तान को हरा कर भारत ने खोला जीत का खाता,अजलान शाह हॉकी पाकिस्तान को हराकर भारत ने खोला जीत का खाता,अजलान शाह हॉकी पाकिस्तान को हरा कर भारत ने खोला जीत का खाता,1,0,1,0.1667,6.95,189.91,0.027
common_voice_hi_25012349.mp3,नतीजों के कारण नतीजों का इंतजार और दिलचस्प,नतीजों के कारण नतीजों का इंतजार और दिलचस्प,नतीजों के कारण नतीजों का इंतजार और दिलचस्प,नतीजों के कारण नतीजों का इंतजार और दिलचस्प,0,0,0,0.0,4.82,132.45,0.027
common_voice_hi_25148883.mp3,मैं तुमसे सहमत नहीं हूँ।,मैं तुमसे सम करूँगी,मैं तुमसे सहमत नहीं हूँ,मैं तुमसे सम करूँगी,2,1,0,0.6,2.63,77.38,0.029
common_voice_hi_25153162.mp3,इस उपन्यास का लेखक कौन है?,इस उपन्यास का लेखक कौन है,इस उपन्यास का लेखक कौन है,इस उपन्यास का लेखक कौन है,0,0,0,0.0,4.86,128.03,0.026
common_voice_hi_25215289.mp3,वे हमारी प्रतिक्षा कर रहे हैं।,वे हमारी प्रतीक्षा कर रहे हैं,वे हमारी प्रतिक्षा कर रहे हैं,वे हमारी प्रतीक्षा कर रहे हैं,1,0,0,0.1667,3.78,104.82,0.028
common_voice_hi_25225009.mp3,चीन में मिले ग्रेट वाल के अज्ञात भाग,चीन में मिले ग्रेट वाल के अज्ञात भाग,चीन में मिले ग्रेट वाल के अज्ञात भाग,चीन में मिले ग्रेट वाल के अज्ञात भाग,0,0,0,0.0,5.76,173.18,0.03
common_voice_hi_25286454.mp3,लोकसभा चुनाव के दूसरे चरण में पूर्वोत्तर के वोटरों ने दिखाया भरपूर उत्साह,लोकसभा चुनाव के दूसरे चरण में पूर्वोत्तर के वोटरों ने दिखाया भरपूर उत्साह,लोकसभा चुनाव के दूसरे चरण में पूर्वोत्तर के वोटरों ने दिखाया भरपूर उत्साह,लोकसभा चुनाव के दूसरे चरण में पूर्वोत्तर के वोटरों ने दिखाया भरपूर उत्साह,0,0,0,0.0,6.41,182.26,0.028
common_voice_hi_25297697.mp3,मासूम सीरियाई बच्चे एलन कुर्दी की मौत मामले में दो को सजा,मासूम सीरियाई बच्चे एलन कुर्दी की मौत मामले में दो को सजा,मासूम सीरियाई बच्चे एलन कुर्दी की मौत मामले में दो को सजा,मासूम सीरियाई बच्चे एलन कुर्दी की मौत मामले में दो को सजा,0,0,0,0.0,7.13,192.06,0.027
common_voice_hi_25319313.mp3,'झलक दिखला जा' के शो पर शाहिद की मंगेतर मीरा राजपूत!,झलक तिखलाजा के शो पर शाहिद की मंगेतर मीरा राजपूत,झलक दिखला जा के शो पर शाहिद की मंगेतर मीरा राजपूत,झलक तिखलाजा के शो पर शाहिद की मंगेतर मीरा राजपूत,1,1,0,0.1818,6.95,190.33,0.027
common_voice_hi_25319355.mp3,"तमिल सरकार ने कोका कोला को दिया झटका, छीन ली जमीन",तमिल सरकार ने कोका कोोला को दिया झटका छीन ली जमीन,तमिल सरकार ने कोका कोला को दिया झटका छीन ली जमीन,तमिल सरकार ने कोका कोोला को दिया झटका छीन ली जमीन,1,0,0,0.0909,5.62,162.08,0.029
common_voice_hi_25473133.mp3,उसने अपनी आँखें बंद करीं।,उसने अपनी आँखें बंद करी,उसने अपनी आँखें बंद करीं,उसने अपनी आँखें बंद करी,1,0,0,0.2,3.1,86.1,0.028
common_voice_hi_25745599.mp3,आप तीन मौके ले सकते हैं।,आप तीन मौके ले सकते हैं,आप तीन मौके ले सकते हैं,आप तीन मौके ले सकते हैं,0,0,0,0.0,2.84,78.99,0.028
common_voice_hi_25982602.mp3,कुछ सुनाई दे रहा है?,कुछ सुनाई दे रहा है,कुछ सुनाई दे रहा है,कुछ सुनाई दे रहा है,0,0,0,0.0,2.56,76.93,0.03
common_voice_hi_25982676.mp3,भू नीति के खिलाफ भाजपा ने की आंदोलन की घोषणा,भू नीति के खिलाफ भाजपा ने की आंदोलन की घोषणा,भू नीति के खिलाफ भाजपा ने की आंदोलन की घोषणा,भू नीति के खिलाफ भाजपा ने की आंदोलन की घोषणा,0,0,0,0.0,6.66,188.94,0.028
common_voice_hi_25983583.mp3,आओ! मैं तुम्हें हार का स्वाद चखाऊँगा।,आओ मैं तुम्हें हार का स्वाद्य खाऊंगा,आओ मैं तुम्हें हार का स्वाद चखाऊँगा,आओ मैं तुम्हें हार का स्वाद्य खाऊंगा,2,0,0,0.2857,6.23,170.16,0.027
common_voice_hi_25983648.mp3,"नारायण राणे ने बनाई अपनी पार्टी, 'महाराष्ट्र स्वाभिमान पक्ष' नाम रखा",नारायण राणे ने बनाई अपनी पार्टी महाराष्ट्र स्वाभिमान पक्ष नाम रखा,नारायण राणे ने बनाई अपनी पार्टी महाराष्ट्र स्वाभिमान पक्ष नाम रखा,नारायण राणे ने बनाई अपनी पार्टी महाराष्ट्र स्वाभिमान पक्ष नाम रखा,0,0,0,0.0,7.78,218.61,0.028
common_voice_hi_25983758.mp3,हम इटली में हैं।,हम इटली में है,हम इटली में हैं,हम इटली में है,1,0,0,0.25,3.78,100.87,0.027
common_voice_hi_26018148.mp3,मोदी पर पहले से निष्कर्ष निकालना सही नहीं: फारूक,मोदी पर पहले से निष्कर्ष निकालना सही नहीं फारुख,मोदी पर पहले से निष्कर्ष निकालना सही नहीं फारूक,मोदी पर पहले से निष्कर्ष निकालना सही नहीं फारुख,1,0,0,0.1111,4.79,143.15,0.03
common_voice_hi_26028419.mp3,बस वहीं रहिए।,बस वहीं रहिए,बस वहीं रहिए,बस वहीं रहिए,0,0,0,0.0,2.84,76.27,0.027
common_voice_hi_26032219.mp3,कमप्यूटर गेम खेलना लाभदायक: अध्ययन,कंप्यूटर गेम खेलना लाभदायक अध्ययन,कमप्यूटर गेम खेलना लाभदायक अध्ययन,कंप्यूटर गेम खेलना लाभदायक अध्ययन,1,0,0,0.2,5.44,149.53,0.028
common_voice_hi_26032235.mp3,उसकी दीदी बहुत सुंदर है।,उसकी दीदी बहुत सुंदर है,उसकी दीदी बहुत सुंदर है,उसकी दीदी बहुत सुंदर है,0,0,0,0.0,3.17,91.48,0.029
common_voice_hi_26032279.mp3,सपा नेता की कुल्हाड़ी से काटकर हत्या,सपा नेता की कुल्हाड़ी से काटकर हत्या,सपा नेता की कुल्हाड़ी से काटकर हत्या,सपा नेता की कुल्हाड़ी से काटकर हत्या,0,0,0,0.0,5.0,131.14,0.026
common_voice_hi_26119401.mp3,तुम्हारे इगज़ैम के रिज़ल्ट बहुत अच्छे हैं।,तुम्हारे इग्ज़ैम के रिज़ल्ट बहुत अच्छे हैं,तुम्हारे इगज़ैम के रिज़ल्ट बहुत अच्छे हैं,तुम्हारे इग्ज़ैम के रिज़ल्ट बहुत अच्छे हैं,1,0,0,0.1429,5.69,159.29,0.028
common_voice_hi_26119408.mp3,तुम्हारी जुर्रत कैसे हुई यह बोलने की?!,तुम्हारी ज़रूरत कैसे हुई यह बोलने की,तुम्हारी जुर्रत कैसे हुई यह बोलने की,तुम्हारी ज़रूरत कैसे हुई यह बोलने की,1,0,0,0.1429,6.84,197.75,0.029
common_voice_hi_26226583.mp3,वह वहाँ सात साल रही है।,वह वहाँ सात साल रही है,वह वहाँ सात साल रही है,वह वहाँ सात साल रही है,0,0,0,0.0,3.82,114.19,0.03
common_voice_hi_26227009.mp3,टॉम से बात मत कर।,टम से बात मत कर,टॉम से बात मत कर,टम से बात मत कर,1,0,0,0.2,5.22,157.51,0.03
common_voice_hi_26687107.mp3,"मुलायम-डिंपल के टिकट तय, तो क्या आजमगढ़ से लड़ेंगे अखिलेश यादव?",मुलायम डिमपल के टिकट तय तो क्या आजमगढ़ से लड़ेंगे अखिलेश यादव,मुलायमडिंपल के टिकट तय तो क्या आजमगढ़ से लड़ेंगे अखिलेश यादव,मुलायम डिमपल के टिकट तय तो क्या आजमगढ़ से लड़ेंगे अखिलेश यादव,1,0,1,0.1818,6.59,183.09,0.028
common_voice_hi_26687145.mp3,नए चीफ जस्टिस सदाशिवम ने ही सुनाई थी संजय दत्त को सजा,नए चीफ जस्टिस सदाशिवम ने ही सुनाई थी संजय दत्त को सजा,नए चीफ जस्टिस सदाशिवम ने ही सुनाई थी संजय दत्त को सजा,नए चीफ जस्टिस सदाशिवम ने ही सुनाई थी संजय दत्त को सजा,0,0,0,0.0,7.02,195.2,0.028
common_voice_hi_26749179.mp3,झारखंड: राज्यपाल ने मुख्यमंत्री सोरेन को तलब किया,झारखंड राज्यपाल ने मुख्यमंत्री सोरेन को तलब किया,झारखंड राज्यपाल ने मुख्यमंत्री सोरेन को तलब किया,झारखंड राज्यपाल ने मुख्यमंत्री सोरेन को तलब किया,0,0,0,0.0,4.97,129.55,0.026
common_voice_hi_26749236.mp3,बेकरी में जो लड़की काम करती है वह बहुत क्यूट है।,बेकरी में जो लड़की काम करती है व बु क्यू,बेकरी में जो लड़की काम करती है वह बहुत क्यूट है,बेकरी में जो लड़की काम करती है व बु क्यू,3,1,0,0.3636,5.44,146.02,0.027
common_voice_hi_26749270.mp3,अदालत में पेशी के लिए जयललिता बैंगलोर पहुंचीं,अदालत में पेशी के लिए जयललिता बेंंगलोर पहुंची,अदालत में पेशी के लिए जयललिता बैंगलोर पहुंचीं,अदालत में पेशी के लिए जयललिता बेंंगलोर पहुंची,2,0,0,0.25,5.08,149.49,0.029
common_voice_hi_26897388.mp3,सिनेमा-बॉलीवुड के बाजार का एंडगेम!,सिनेमा बॉलीिवुड के बाजार का एन गेमी,सिनेमाबॉलीवुड के बाजार का एंडगेम,सिनेमा बॉलीिवुड के बाजार का एन गेमी,2,0,2,0.8,6.05,165.51,0.027
common_voice_hi_26986131.mp3,हेमा मालिनी और धर्मेंद्र बनेंगे हरियाणा पर्यटन के एंबेसडर,हेमामालिनी और धर्मेंद्र बनेंगे हरियाणा पर्यटन के एंबेसडर,हेमा मालिनी और धर्मेंद्र बनेंगे हरियाणा पर्यटन के एंबेसडर,हेमामालिनी और धर्मेंद्र बनेंगे हरियाणा पर्यटन के एंबेसडर,1,1,0,0.2222,5.47,158.72,0.029
common_voice_hi_26988429.mp3,अब ट्रेन में ऑर्डर कर सकते हैं हल्दीराम-डोमिनोज के फास्टफूड,अब ट्रेन में ऑर्डर कर सकते हैं हल्दीराम डोमिनोज के फास्ट फूड,अब ट्रेन में ऑर्डर कर सकते हैं हल्दीरामडोमिनोज के फास्टफूड,अब ट्रेन में ऑर्डर कर सकते हैं हल्दीराम डोमिनोज के फास्ट फूड,2,0,2,0.4,5.51,151.83,0.028
common_voice_hi_26988430.mp3,"गाजियाबाद में मासूम से कुकर्म, आरोपी पड़ोसी गिरफ्तार",गाजियाबाद में मासूम से कुकर्म आरोपी पड़ोसी गिरफ्तार,गाजियाबाद में मासूम से कुकर्म आरोपी पड़ोसी गिरफ्तार,गाजियाबाद में मासूम से कुकर्म आरोपी पड़ोसी गिरफ्तार,0,0,0,0.0,5.76,165.59,0.029
common_voice_hi_26988709.mp3,प्रभाकरन को पकड़े बिना चैन नहीं: राजपक्षे,प्रभाकरण को पकड़े बिना चयन नहीं राजपक्षी,प्रभाकरन को पकड़े बिना चैन नहीं राजपक्षे,प्रभाकरण को पकड़े बिना चयन नहीं राजपक्षी,3,0,0,0.4286,5.22,149.1,0.029
common_voice_hi_27031255.mp3,अनफिट खिलाडि़यों ने दिया कीवी टीम को झटका,अनफेट खिलाड़ियों ने दिया कीवी टीम को झटका,अनफिट खिलाडि़यों ने दिया कीवी टीम को झटका,अनफेट खिलाड़ियों ने दिया कीवी टीम को झटका,2,0,0,0.25,5.98,172.77,0.029
common_voice_hi_27248543.mp3,पनामा मामले में नामित लोगों पर अब तक कार्रवाई क्यों नहीं: लालू यादव,पनामा मामले मे नामित लोगो पर अब तक कार्यवाई क्यों नहीं लालू यादव,पनामा मामले में नामित लोगों पर अब तक कार्रवाई क्यों नहीं लालू यादव,पनामा मामले मे नामित लोगो पर अब तक कार्यवाई क्यों नहीं लालू यादव,3,0,0,0.2308,8.57,249.28,0.029
common_voice_hi_27248544.mp3,"दिल्ली: संपत्ति विवाद में महिला पर फेंका तेजाब, आरोपी फरार",दिल्ली संपत्ति विवाद में महिला पर फेंका तेजाब आरोपी फरार,दिल्ली संपत्ति विवाद में महिला पर फेंका तेजाब आरोपी फरार,दिल्ली संपत्ति विवाद में महिला पर फेंका तेजाब आरोपी फरार,0,0,0,0.0,6.7,192.13,0.029
common_voice_hi_27381781.mp3,Tech It Easy: फोन से लाजवाब फोटो का फंडा,टक् इट ईजी फोन से लाजवाब फोटो का फंडा,Tech It Easy फोन से लाजवाब फोटो का फंडा,टक् इट ईजी फोन से लाजवाब फोटो का फंडा,3,0,0,0.3333,5.33,160.57,0.03
common_voice_hi_27381787.mp3,ऑनलाइन लीक हुई सोनम कपूर की फिल्म 'एक लड़की को देखा तो ऐसा लगा',ऑनलाइन लीक हुई सोनम कपूर की फिल्म एक लड़की को देखा तो ऐसा लगा,ऑनलाइन लीक हुई सोनम कपूर की फिल्म एक लड़की को देखा तो ऐसा लगा,ऑनलाइन लीक हुई सोनम कपूर की फिल्म एक लड़की को देखा तो ऐसा लगा,0,0,0,0.0,5.69,158.83,0.028
common_voice_hi_27399520.mp3,मोदी से मिलाने के नाम पर धोखाधड़ी!,मोदी से मिलने के नाम पर धोखाधड़ी,मोदी से मिलाने के नाम पर धोखाधड़ी,मोदी से मिलने के नाम पर धोखाधड़ी,1,0,0,0.1429,5.69,158.96,0.028
common_voice_hi_27427324.mp3,पीटी उषा का किरदार निभाना चाहती हूं: बिपाशा बसु,पीटी उऊषा का किरदार निभाना चाहती हूँ विपाशा बसु,पीटी उषा का किरदार निभाना चाहती हूं बिपाशा बसु,पीटी उऊषा का किरदार निभाना चाहती हूँ विपाशा बसु,3,0,0,0.3333,5.4,157.27,0.029
common_voice_hi_27637668.mp3,"दिल्लीः नकली नोट बनाने वाले गिरोह का भंडाफोड़, बरामद हुए आधे छपे नोट",दिल्ली नकली नोट बनाने वाले गिरोह का फंडाफोड़ बरामद हुए आधे छपे नोट,दिल्लीः नकली नोट बनाने वाले गिरोह का भंडाफोड़ बरामद हुए आधे छपे नोट,दिल्ली नकली नोट बनाने वाले गिरोह का फंडाफोड़ बरामद हुए आधे छपे नोट,2,0,0,0.1538,9.29,273.39,0.029
common_voice_hi_27637835.mp3,"आज ही दी गई थी मंगल पांडेय को फांसी, जानें- उनसे जुड़ीं खास बातें",आज ही दी गई थी मंगल पांडे को फांसी जाने उनसे जुड़ी खास बातें,आज ही दी गई थी मंगल पांडेय को फांसी जानें उनसे जुड़ीं खास बातें,आज ही दी गई थी मंगल पांडे को फांसी जाने उनसे जुड़ी खास बातें,3,0,0,0.2143,7.13,199.34,0.028
common_voice_hi_27639341.mp3,"तुम्हारे पास एक कुत्ता है, है न?",तुम्हारे पास एक कुत्ता है है ना,तुम्हारे पास एक कुत्ता है है न,तुम्हारे पास एक कुत्ता है है ना,1,0,0,0.1429,4.25,119.1,0.028
common_voice_hi_27762568.mp3,"केजरीवाल के विज्ञापन पर हंगामा, विरोधियों ने बताया- महिला विरोधी, रुपये का दुरुपयोग",केजरीवाल के विज्ञापन पर हंगामा विरोधियों ने बताया महिला विरोधी रुपय का दुरुपयोग,केजरीवाल के विज्ञापन पर हंगामा विरोधियों ने बताया महिला विरोधी रुपये का दुरुपयोग,केजरीवाल के विज्ञापन पर हंगामा विरोधियों ने बताया महिला विरोधी रुपय का दुरुपयोग,1,0,0,0.0769,6.91,197.51,0.029
common_voice_hi_27762574.mp3,सड़क हादसे के बाद अभिजीत सावंत की पिटाई,सड़क हादसे के बाद अभिजीत सावंत की पिटाई,सड़क हादसे के बाद अभिजीत सावंत की पिटाई,सड़क हादसे के बाद अभिजीत सावंत की पिटाई,0,0,0,0.0,3.24,97.68,0.03
common_voice_hi_27762784.mp3,शाम के सात बज कर तीस मिनट हुए हैं,शाम के सात बजकर तीस मिनट हुए हैं,शाम के सात बज कर तीस मिनट हुए हैं,शाम के सात बजकर तीस मिनट हुए हैं,1,1,0,0.2222,3.71,108.2,0.029
common_voice_hi_27782433.mp3,राजीव गांधीः थोड़े समय का ध्रुव तारा,राजीव गांधी थोड़े समय का ध्रुव तारा,राजीव गांधीः थोड़े समय का ध्रुव तारा,राजीव गांधी थोड़े समय का ध्रुव तारा,1,0,0,0.1429,4.82,140.67,0.029
common_voice_hi_27913520.mp3,जब चंद्रमा से दिखी धरती...,जब चंद्रमा से दिखी धरती,जब चंद्रमा से दिखी धरती...,जब चंद्रमा से दिखी धरती,1,0,0,0.2,3.89,112.89,0.029
common_voice_hi_27942843.mp3,गुड़गांवः ट्रैफिक लाइट ने बचाई सॉफ्टवेयर इंजीनियर की आबरू,गुड़गांव ट्रैफिक लाइट ने बचाई सॉफ्टवेयर इंजीनियर की आबरू,गुड़गांवः ट्रैफिक लाइट ने बचाई सॉफ्टवेयर इंजीनियर की आबरू,गुड़गांव ट्रैफिक लाइट ने बचाई सॉफ्टवेयर इंजीनियर की आबरू,1,0,0,0.1111,6.12,174.43,0.029
common_voice_hi_28701637.mp3,"Video: दिल्ली की वेडिंग पार्टी में पहुंचे रणवीर सिंह, डांस फ्लोर पर मचाया धमाल",वीडियो दिल्ली में वेडिंग पार्टी में पहुंचे रणबीर सिंह डांस फ्लोर पर मचाया धमाल,Video दिल्ली की वेडिंग पार्टी में पहुंचे रणवीर सिंह डांस फ्लोर पर मचाया धमाल,वीडियो दिल्ली में वेडिंग पार्टी में पहुंचे रणबीर सिंह डांस फ्लोर पर मचाया धमाल,3,0,0,0.2143,5.62,158.44,0.028
common_voice_hi_30706614.mp3,प्रधानमंत्री कार्यालय से सोनिया को नहीं भेजी गई फाइल: मनमोहन,प्रधानमंत्री कार्यालय से सोनिया को नहीं भेजी गई फाइल मनमोहन,प्रधानमंत्री कार्यालय से सोनिया को नहीं भेजी गई फाइल मनमोहन,प्रधानमंत्री कार्यालय से सोनिया को नहीं भेजी गई फाइल मनमोहन,0,0,0,0.0,7.49,216.53,0.029
common_voice_hi_30706616.mp3,राष्ट्रपति के अभिभाषण पर मल्लिकार्जुन खड़गे ने मोदी सरकार को घेरा,राष्ट्रपति के अभिभाषण पर मल्लिकार्जुन खड़गे ने मोदी सरकार को घेरा,राष्ट्रपति के अभिभाषण पर मल्लिकार्जुन खड़गे ने मोदी सरकार को घेरा,राष्ट्रपति के अभिभाषण पर मल्लिकार्जुन खड़गे ने मोदी सरकार को घेरा,0,0,0,0.0,7.13,193.77,0.027
common_voice_hi_31692640.mp3,सावन का तीसरा सोमवार और शिव जी के तीन स्वरूप,सावन का तीसरा सोमवार और शिवजी के तीन स्वरूप,सावन का तीसरा सोमवार और शिव जी के तीन स्वरूप,सावन का तीसरा सोमवार और शिवजी के तीन स्वरूप,1,1,0,0.2,5.44,151.48,0.028
common_voice_hi_31822237.mp3,नर्सरी में प्रवेश मामले पर सुप्रीम कोर्ट सोमवार को करेगा सुनवाई,नर्सरी में प्रवेश मामले पर सुप्रीम कोर्ट सोमवार को करेगा सुनवाई,नर्सरी में प्रवेश मामले पर सुप्रीम कोर्ट सोमवार को करेगा सुनवाई,नर्सरी में प्रवेश मामले पर सुप्रीम कोर्ट सोमवार को करेगा सुनवाई,0,0,0,0.0,7.06,201.19,0.029
common_voice_hi_32356249.mp3,अब अगले हफ्ते लोकसभा में तीन तलाक पर बिल पेश करेगी सरकार,अब अगले हफ्ते लोकसभा में तीन तलाक पर बिल पेश करेगी सरकार,अब अगले हफ्ते लोकसभा में तीन तलाक पर बिल पेश करेगी सरकार,अब अगले हफ्ते लोकसभा में तीन तलाक पर बिल पेश करेगी सरकार,0,0,0,0.0,6.34,187.47,0.03
common_voice_hi_32409504.mp3,सड़क-छाप कॉमेडी जिसे इग्नोर मारना मुमकिन नहीं क्योंकि...!,सड़क छप कमेडी जिसे इग्नोर मानना मुमकिन नहीं क्योंकि,सड़कछाप कॉमेडी जिसे इग्नोर मारना मुमकिन नहीं क्योंकि...,सड़क छप कमेडी जिसे इग्नोर मानना मुमकिन नहीं क्योंकि,4,0,1,0.625,4.54,133.56,0.029
