id,source,src_text,tgt_text,reason,source_id
TT-V2-COMB-00322,TATOEBA,बधाई हो!,ᱥᱟᱨᱦᱟᱣ ᱜᱮ !,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:6178943|sat:11120790|via_eng:1437
TT-V2-COMB-00323,TATOEBA,मुबारक हो!,ᱥᱟᱨᱦᱟᱣ ᱜᱮ !,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:6178945|sat:11120790|via_eng:1437
TT-V2-COMB-00326,TATOEBA,बढ़िया।,ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱾,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:9663335|sat:11193342|via_eng:1514615
TT-V2-COMB-00360,TATOEBA,बोलो!,ᱨᱚᱲ!,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:7559093|sat:11170041|via_eng:1802121
TT-V2-COMB-00396,TATOEBA,धन्यवाद।,ᱥᱟᱨᱦᱟᱣ ᱜᱮ ᱾,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:6543509|sat:11193355|via_eng:2057650
TT-V2-COMB-00564,TATOEBA,ज़ाहिर है.,ᱪᱮᱫᱟᱜ ᱵᱟᱝᱟ ᱾,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:6179039|sat:10273122|via_eng:279879
TT-V2-COMB-00623,TATOEBA,आपका स्वागत हैं।,ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ!,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:3120148|sat:11163810|via_eng:3120149
TT-V2-COMB-00666,TATOEBA,क्या आपका नाम टॉम है?,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱴᱚᱢ ᱪᱮ?,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:3638909|sat:10303047|via_eng:3405320
TT-V2-COMB-00668,TATOEBA,क्या आपका नाम टॉम है?,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱴᱚᱢ ᱠᱟᱱᱟ ᱪᱮ?,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:3638909|sat:10303048|via_eng:3405320
TT-V2-COMB-00670,TATOEBA,क्या आपका नाम टॉम है?,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱴᱚᱢ ᱠᱟᱱᱟ ᱥᱮ?,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:3638909|sat:10303049|via_eng:3405320
TT-V2-COMB-00710,TATOEBA,सच में?,ᱥᱟᱹᱨᱤ ᱜᱮ ?,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:4078392|sat:11164020|via_eng:373216
TT-V2-COMB-00712,TATOEBA,सच में?,ᱥᱟᱹᱨᱤ ᱪᱮ ?,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:4078392|sat:11193262|via_eng:373216
TT-V2-COMB-00713,TATOEBA,सच?,ᱦᱮᱸ ᱥᱟᱹᱨᱤ ?,EXTREME_CHARACTER_RATIO_3.67,hin:4078391|sat:11193263|via_eng:373216
TT-V2-COMB-00714,TATOEBA,सच में?,ᱦᱮᱸ ᱥᱟᱹᱨᱤ ?,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:4078392|sat:11193263|via_eng:373216
TT-V2-COMB-00715,TATOEBA,सच?,ᱦᱮᱸᱪᱚ ᱥᱟᱹᱨᱤ ᱜᱮ ᱯᱟᱞᱮ ?,EXTREME_CHARACTER_RATIO_7.00,hin:4078391|sat:11193264|via_eng:373216
TT-V2-COMB-00716,TATOEBA,सच में?,ᱦᱮᱸᱪᱚ ᱥᱟᱹᱨᱤ ᱜᱮ ᱯᱟᱞᱮ ?,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:4078392|sat:11193264|via_eng:373216
TT-V2-COMB-00717,TATOEBA,कैसे हो?,ᱟᱢ ᱪᱮᱫ ᱞᱮᱠᱟ ᱢᱮᱱᱟᱢᱼᱟ?,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:10979871|sat:10290445|via_eng:373320
TT-V2-COMB-00728,TATOEBA,धन्यवाद!,ᱥᱟᱨᱦᱟᱣ ᱜᱮ !,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:509386|sat:11120790|via_eng:374827
TT-V2-COMB-00729,TATOEBA,शुक्रिया!,ᱥᱟᱨᱦᱟᱣ ᱜᱮ !,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:509387|sat:11120790|via_eng:374827
TT-V2-COMB-00750,TATOEBA,बढ़िया!,ᱱᱟᱯᱟᱭ!,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:4407729|sat:11193265|via_eng:395934
TT-V2-COMB-00764,TATOEBA,आपका नाम क्या है?,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ ?,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:443217|sat:10297686|via_eng:408293
TT-V2-COMB-00788,TATOEBA,बिल्कुल।,ᱪᱮᱫᱟᱜ ᱵᱟᱝᱟ ᱾,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:6830402|sat:10273122|via_eng:433492
TT-V2-COMB-00789,TATOEBA,ज़रूर।,ᱪᱮᱫᱟᱜ ᱵᱟᱝᱟ ᱾,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:6830403|sat:10273122|via_eng:433492
TT-V2-COMB-00813,TATOEBA,बढ़िया!,ᱦᱮᱲᱮᱢ !,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:4407729|sat:11170074|via_eng:4450928
TT-V2-COMB-00833,TATOEBA,धन्यवाद!,ᱥᱟᱨᱦᱟᱣ!,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:509386|sat:10531693|via_eng:448645
TT-V2-COMB-00834,TATOEBA,बिल्कुल!,ᱴᱷᱟᱹᱣᱠᱟᱹ!,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:11371035|sat:11184361|via_eng:4490618
TT-V2-COMB-00835,TATOEBA,बिल्कुल!,ᱯᱩᱨᱟᱹ ᱯᱩᱨᱤ !,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:11371035|sat:11184363|via_eng:4490618
TT-V2-COMB-00856,TATOEBA,हाँ।,ᱦᱮᱸ,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:477093|sat:10291161|via_eng:477086
TT-V2-COMB-00857,TATOEBA,हाँ।,ᱦᱮᱸ ᱾,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:477093|sat:11193276|via_eng:477086
TT-V2-COMB-00884,TATOEBA,बढ़िया!,ᱵᱟᱱᱴᱷᱤᱠ!,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:4407729|sat:11163984|via_eng:52022
TT-V2-COMB-00885,TATOEBA,बढ़िया!,ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ !,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:4407729|sat:11184310|via_eng:52022
TT-V2-COMB-00909,TATOEBA,ये किताबें मेरीं हैं।,ᱱᱚᱶᱟ ᱯᱚᱛᱚᱵ ᱫᱚ ᱤᱧᱟᱜ ᱠᱟᱱᱟ ᱾,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:611428|sat:11195295|via_eng:55084
TT-V2-COMB-00923,TATOEBA,हे.,ᱡᱚᱦᱟᱨ ᱾,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:6179116|sat:11163958|via_eng:590217
TT-V2-COMB-00930,TATOEBA,सही में...,ᱥᱟᱹᱨᱤ ᱛᱮ ...,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:8876326|sat:11184386|via_eng:6078396
TT-V2-COMB-00962,TATOEBA,बाय!,ᱵᱟᱭ !,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:6179126|sat:11165051|via_eng:647456
TT-V2-COMB-00963,TATOEBA,बाय!,ᱡᱚᱦᱟᱨ !,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:6179126|sat:11165053|via_eng:647456
TT-V2-COMB-00997,TATOEBA,आपका नाम क्या है?,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ?,BENCHMARK_CONTAMINATION_EXACT_BENCHMARK_HASH_MATCH,hin:443217|sat:10290319|via_eng:70623
TT-V2-COMB-01008,TATOEBA,ओई!,ᱱᱚᱛᱮ ᱟᱧᱡᱚᱢ ᱢᱮ !,EXTREME_CHARACTER_RATIO_5.00,hin:11371096|sat:11205011|via_eng:7589503
TT-V2-COMB-01039,TATOEBA,ज़रूर!,ᱱᱤᱦᱟᱹᱛᱤ!,BENCHMARK_CONTAMINATION_FUZZY_BENCHMARK_WORD_SIMILARITY_OVER_85,hin:4078408|sat:11163999|via_eng:888561
TT-V2-COMB-01044,TATOEBA,आओ!,ᱦᱟᱹᱡᱩᱜ ᱢᱮ !,EXTREME_CHARACTER_RATIO_3.67,hin:4078409|sat:11165076|via_eng:890415
TT-V2-COMB-01048,TATOEBA,आओ!,ᱦᱟᱹᱡᱩᱜ ᱢᱮ ᱭᱟ !,EXTREME_CHARACTER_RATIO_4.67,hin:4078409|sat:11193312|via_eng:890415
