src_lang,tgt_lang,src_text,tgt_text
hin_Deva,sat_Olck,ब्लैकबोर्ड देखो,ᱵᱚᱨᱰ ᱧᱮᱞ ᱢᱮ
sat_Olck,hin_Deva,ᱵᱚᱨᱰ ᱧᱮᱞ ᱢᱮ,ब्लैकबोर्ड देखो
hin_Deva,sat_Olck,ध्यान से सुनो,ᱫᱷᱮᱭᱟᱱ ᱛᱮ ᱟᱧᱡᱚᱢ ᱢᱮ
sat_Olck,hin_Deva,ᱫᱷᱮᱭᱟᱱ ᱛᱮ ᱟᱧᱡᱚᱢ ᱢᱮ,ध्यान से सुनो
hin_Deva,sat_Olck,बहुत अच्छा काम,ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱹᱢᱤ
sat_Olck,hin_Deva,ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱹᱢᱤ,बहुत अच्छा काम
hin_Deva,sat_Olck,शाबाश बच्चों,ᱥᱟᱵᱟᱥ ᱜᱤᱫᱽᱨᱟᱹ
sat_Olck,hin_Deva,ᱥᱟᱵᱟᱥ ᱜᱤᱫᱽᱨᱟᱹ,शाबाश बच्चों
hin_Deva,sat_Olck,मुझे समझ नहीं आया,ᱵᱟᱹᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱫᱟᱲᱮᱭᱟᱫᱟ
sat_Olck,hin_Deva,ᱵᱟᱹᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱫᱟᱲᱮᱭᱟᱫᱟ,मुझे समझ नहीं आया
hin_Deva,sat_Olck,क्या आप मदद कर सकते हैं?,ᱪᱮᱫ ᱟᱢ ᱜᱚᱲᱚ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ?
sat_Olck,hin_Deva,ᱪᱮᱫ ᱟᱢ ᱜᱚᱲᱚ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ?,क्या आप मदद कर सकते हैं?
hin_Deva,sat_Olck,पानी पीना है,ᱫᱟᱜ ᱧᱩ ᱥᱟᱱᱟᱹᱧ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱫᱟᱜ ᱧᱩ ᱥᱟᱱᱟᱹᱧ ᱠᱟᱱᱟ,पानी पीना है
hin_Deva,sat_Olck,मुझे भूख लगी है,ᱤᱧ ᱨᱮᱸᱜᱮᱡ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱤᱧ ᱨᱮᱸᱜᱮᱡ ᱠᱟᱱᱟ,मुझे भूख लगी है
hin_Deva,sat_Olck,मुझे घर जाना है,ᱤᱧ ᱚᱲᱟᱜ ᱪᱟᱞᱟᱜ ᱥᱟᱱᱟᱹᱧ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱤᱧ ᱚᱲᱟᱜ ᱪᱟᱞᱟᱜ ᱥᱟᱱᱟᱹᱧ ᱠᱟᱱᱟ,मुझे घर जाना है
hin_Deva,sat_Olck,फिर से समझाइए,ᱟᱨᱦᱚᱸ ᱢᱤᱫ ᱫᱷᱟᱣ ᱞᱟᱹᱭ ᱢᱮ
sat_Olck,hin_Deva,ᱟᱨᱦᱚᱸ ᱢᱤᱫ ᱫᱷᱟᱣ ᱞᱟᱹᱭ ᱢᱮ,फिर से समझाइए
hin_Deva,sat_Olck,मेरा काम पूरा हो गया,ᱤᱧᱟᱜ ᱠᱟᱹᱢᱤ ᱯᱩᱨᱟᱹᱣ ᱮᱱᱟ
sat_Olck,hin_Deva,ᱤᱧᱟᱜ ᱠᱟᱹᱢᱤ ᱯᱩᱨᱟᱹᱣ ᱮᱱᱟ,मेरा काम पूरा हो गया
hin_Deva,sat_Olck,एक दो तीन चार,ᱢᱤᱫ ᱵᱟᱨ ᱯᱮ ᱯᱩᱱ
sat_Olck,hin_Deva,ᱢᱤᱫ ᱵᱟᱨ ᱯᱮ ᱯᱩᱱ,एक दो तीन चार
hin_Deva,sat_Olck,पांच छह सात आठ नौ दस,ᱢᱚᱬᱮ ᱛᱩᱨᱩᱭ ᱮᱭᱟᱭ ᱤᱨᱟᱹᱞ ᱟᱨᱮ ᱜᱮᱞ
sat_Olck,hin_Deva,ᱢᱚᱬᱮ ᱛᱩᱨᱩᱭ ᱮᱭᱟᱭ ᱤᱨᱟᱹᱞ ᱟᱨᱮ ᱜᱮᱞ,पांच छह सात आठ नौ दस
hin_Deva,sat_Olck,गिनती करो,ᱞᱮᱠᱷᱟᱭ ᱢᱮ
sat_Olck,hin_Deva,ᱞᱮᱠᱷᱟᱭ ᱢᱮ,गिनती करो
hin_Deva,sat_Olck,जोड़ो,ᱢᱮᱥᱟᱭ ᱢᱮ
sat_Olck,hin_Deva,ᱢᱮᱥᱟᱭ ᱢᱮ,जोड़ो
hin_Deva,sat_Olck,घटाओ,ᱚᱪᱚᱜ ᱢᱮ
sat_Olck,hin_Deva,ᱚᱪᱚᱜ ᱢᱮ,घटाओ
hin_Deva,sat_Olck,कितने सेब हैं?,ᱛᱤᱱᱟᱹᱜ ᱥᱮᱣ ᱢᱮᱱᱟᱜ-ᱟ?
sat_Olck,hin_Deva,ᱛᱤᱱᱟᱹᱜ ᱥᱮᱣ ᱢᱮᱱᱟᱜ-ᱟ?,कितने सेब हैं?
hin_Deva,sat_Olck,पाँच और तीन आठ होते हैं,ᱢᱚᱬᱮ ᱟᱨ ᱯᱮ ᱤᱨᱟᱹᱞ ᱦᱩᱭᱩᱜ-ᱟ
sat_Olck,hin_Deva,ᱢᱚᱬᱮ ᱟᱨ ᱯᱮ ᱤᱨᱟᱹᱞ ᱦᱩᱭᱩᱜ-ᱟ,पाँच और तीन आठ होते हैं
hin_Deva,sat_Olck,दो में दो जोड़ने पर चार होता है,ᱵᱟᱨ ᱨᱮ ᱵᱟᱨ ᱢᱮᱥᱟ ᱞᱮᱠᱷᱟᱱ ᱯᱩᱱ ᱦᱩᱭᱩᱜ-ᱟ
sat_Olck,hin_Deva,ᱵᱟᱨ ᱨᱮ ᱵᱟᱨ ᱢᱮᱥᱟ ᱞᱮᱠᱷᱟᱱ ᱯᱩᱱ ᱦᱩᱭᱩᱜ-ᱟ,दो में दो जोड़ने पर चार होता है
hin_Deva,sat_Olck,कल बारिश होगी,ᱜᱟᱯᱟ ᱫᱟᱜ ᱡᱟᱹᱲᱤ ᱦᱩᱭᱩᱜ-ᱟ
sat_Olck,hin_Deva,ᱜᱟᱯᱟ ᱫᱟᱜ ᱡᱟᱹᱲᱤ ᱦᱩᱭᱩᱜ-ᱟ,कल बारिश होगी
hin_Deva,sat_Olck,आज बहुत गर्मी है,ᱛᱮᱦᱮᱧ ᱟᱹᱰᱤ ᱞᱚᱞᱚ ᱜᱮᱭᱟ
sat_Olck,hin_Deva,ᱛᱮᱦᱮᱧ ᱟᱹᱰᱤ ᱞᱚᱞᱚ ᱜᱮᱭᱟ,आज बहुत गर्मी है
hin_Deva,sat_Olck,आज बहुत ठंड है,ᱛᱮᱦᱮᱧ ᱟᱹᱰᱤ ᱨᱮᱭᱟᱲ ᱜᱮᱭᱟ
sat_Olck,hin_Deva,ᱛᱮᱦᱮᱧ ᱟᱹᱰᱤ ᱨᱮᱭᱟᱲ ᱜᱮᱭᱟ,आज बहुत ठंड है
hin_Deva,sat_Olck,आज मौसम बहुत सुहावना है,ᱛᱮᱦᱮᱧ ᱦᱚᱭ-ᱦᱤᱥᱤᱫ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ
sat_Olck,hin_Deva,ᱛᱮᱦᱮᱧ ᱦᱚᱭ-ᱦᱤᱥᱤᱫ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ,आज मौसम बहुत सुहावना है
hin_Deva,sat_Olck,सूरज पूरब में उगता है,ᱪᱟᱸᱫᱚ ᱥᱟᱢᱟᱝ ᱨᱮ ᱨᱟᱠᱟᱵ-ᱟ
sat_Olck,hin_Deva,ᱪᱟᱸᱫᱚ ᱥᱟᱢᱟᱝ ᱨᱮ ᱨᱟᱠᱟᱵ-ᱟ,सूरज पूरब में उगता है
hin_Deva,sat_Olck,पेड़ हमें छाया देते हैं,ᱫᱟᱨᱮ ᱟᱵᱚ ᱩᱢᱩᱞ ᱮᱢᱟᱵᱚᱱᱟ
sat_Olck,hin_Deva,ᱫᱟᱨᱮ ᱟᱵᱚ ᱩᱢᱩᱞ ᱮᱢᱟᱵᱚᱱᱟ,पेड़ हमें छाया देते हैं
hin_Deva,sat_Olck,नदी में पानी बह रहा है,ᱜᱟᱰᱟ ᱨᱮ ᱫᱟᱜ ᱞᱤᱸᱜᱤᱱ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱜᱟᱰᱟ ᱨᱮ ᱫᱟᱜ ᱞᱤᱸᱜᱤᱱ ᱠᱟᱱᱟ,नदी में पानी बह रहा है
hin_Deva,sat_Olck,पक्षी आकाश में उड़ रहे हैं,ᱪᱮᱬᱮ ᱥᱮᱨᱢᱟ ᱨᱮᱠᱚ ᱩᱰᱟᱹᱣᱜ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱪᱮᱬᱮ ᱥᱮᱨᱢᱟ ᱨᱮᱠᱚ ᱩᱰᱟᱹᱣᱜ ᱠᱟᱱᱟ,पक्षी आकाश में उड़ रहे हैं
hin_Deva,sat_Olck,फूल बहुत सुंदर हैं,ᱵᱟᱦᱟ ᱟᱹᱰᱤ ᱪᱚᱨᱚᱠ ᱜᱮᱭᱟ
sat_Olck,hin_Deva,ᱵᱟᱦᱟ ᱟᱹᱰᱤ ᱪᱚᱨᱚᱠ ᱜᱮᱭᱟ,फूल बहुत सुंदर हैं
hin_Deva,sat_Olck,यह मेरा परिवार है,ᱱᱚᱣᱟ ᱤᱧᱟᱜ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱱᱚᱣᱟ ᱤᱧᱟᱜ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱠᱟᱱᱟ,यह मेरा परिवार है
hin_Deva,sat_Olck,यह मेरी माँ है,ᱱᱩᱭ ᱤᱧ ᱟᱭᱳ ᱠᱟᱱᱟᱭ
sat_Olck,hin_Deva,ᱱᱩᱭ ᱤᱧ ᱟᱭᱳ ᱠᱟᱱᱟᱭ,यह मेरी माँ है
hin_Deva,sat_Olck,यह मेरे पिता हैं,ᱱᱩᱭ ᱤᱧ ᱵᱟᱵᱟ ᱠᱟᱱᱟᱭ
sat_Olck,hin_Deva,ᱱᱩᱭ ᱤᱧ ᱵᱟᱵᱟ ᱠᱟᱱᱟᱭ,यह मेरे पिता हैं
hin_Deva,sat_Olck,यह मेरा भाई है,ᱱᱩᱭ ᱤᱧ ᱵᱚᱭᱦᱟ ᱠᱟᱱᱟᱭ
sat_Olck,hin_Deva,ᱱᱩᱭ ᱤᱧ ᱵᱚᱭᱦᱟ ᱠᱟᱱᱟᱭ,यह मेरा भाई है
hin_Deva,sat_Olck,यह मेरी बहन है,ᱱᱩᱭ ᱤᱧ ᱢᱤᱥᱤ ᱠᱟᱱᱟᱭ
sat_Olck,hin_Deva,ᱱᱩᱭ ᱤᱧ ᱢᱤᱥᱤ ᱠᱟᱱᱟᱭ,यह मेरी बहन है
hin_Deva,sat_Olck,वह मेरा दोस्त है,ᱩᱱᱤ ᱤᱧᱤᱡ ᱜᱟᱛᱮ ᱠᱟᱱᱟᱭ
sat_Olck,hin_Deva,ᱩᱱᱤ ᱤᱧᱤᱡ ᱜᱟᱛᱮ ᱠᱟᱱᱟᱭ,वह मेरा दोस्त है
hin_Deva,sat_Olck,हम सब साथ खेलते हैं,ᱟᱵᱚ ᱡᱚᱛᱚ ᱢᱤᱫ ᱛᱮᱵᱚᱱ ᱮᱱᱮᱡ-ᱟ
sat_Olck,hin_Deva,ᱟᱵᱚ ᱡᱚᱛᱚ ᱢᱤᱫ ᱛᱮᱵᱚᱱ ᱮᱱᱮᱡ-ᱟ,हम सब साथ खेलते हैं
hin_Deva,sat_Olck,स्कूल बहुत सुंदर है,ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱟᱹᱰᱤ ᱪᱚᱨᱚᱠ ᱜᱮᱭᱟ
sat_Olck,hin_Deva,ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱟᱹᱰᱤ ᱪᱚᱨᱚᱠ ᱜᱮᱭᱟ,स्कूल बहुत सुंदर है
hin_Deva,sat_Olck,गुरुजी आ रहे हैं,ᱢᱟᱪᱮᱛ ᱦᱤᱡᱩᱜ ᱠᱟᱱᱟᱭ
sat_Olck,hin_Deva,ᱢᱟᱪᱮᱛ ᱦᱤᱡᱩᱜ ᱠᱟᱱᱟᱭ,गुरुजी आ रहे हैं
hin_Deva,sat_Olck,हम पाठ पढ़ रहे हैं,ᱟᱵᱚ ᱯᱟᱴᱷ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱵᱚ ᱯᱟᱴᱷ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ,हम पाठ पढ़ रहे हैं
hin_Deva,sat_Olck,रोटी खाओ,ᱨᱩᱴᱤ ᱡᱚᱢ ᱢᱮ
sat_Olck,hin_Deva,ᱨᱩᱴᱤ ᱡᱚᱢ ᱢᱮ,रोटी खाओ
hin_Deva,sat_Olck,दूध पियो,ᱛᱳᱣᱟ ᱧᱩᱭ ᱢᱮ
sat_Olck,hin_Deva,ᱛᱳᱣᱟ ᱧᱩᱭ ᱢᱮ,दूध पियो
hin_Deva,sat_Olck,समय पर स्कूल आओ,ᱚᱠᱛᱚ ᱨᱮ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱦᱤᱡᱩᱜ ᱢᱮ
sat_Olck,hin_Deva,ᱚᱠᱛᱚ ᱨᱮ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱦᱤᱡᱩᱜ ᱢᱮ,समय पर स्कूल आओ
hin_Deva,sat_Olck,सच बोलो,ᱥᱟᱹᱨᱤ ᱠᱟᱛᱷᱟ ᱨᱚᱲ ᱢᱮ
sat_Olck,hin_Deva,ᱥᱟᱹᱨᱤ ᱠᱟᱛᱷᱟ ᱨᱚᱲ ᱢᱮ,सच बोलो
hin_Deva,sat_Olck,झूठ मत बोलो,ᱮᱲᱮ ᱟᱞᱚᱢ ᱨᱚᱲ-ᱟ
sat_Olck,hin_Deva,ᱮᱲᱮ ᱟᱞᱚᱢ ᱨᱚᱲ-ᱟ,झूठ मत बोलो
hin_Deva,sat_Olck,सफाई रखो,ᱥᱟᱯᱷᱟ ᱫᱚᱦᱚᱭ ᱯᱮ
sat_Olck,hin_Deva,ᱥᱟᱯᱷᱟ ᱫᱚᱦᱚᱭ ᱯᱮ,सफाई रखो
hin_Deva,sat_Olck,मैं किताब पढ़ता हूँ,ᱤᱧ ᱯᱩᱛᱷᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱤᱧ ᱯᱩᱛᱷᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ,मैं किताब पढ़ता हूँ
hin_Deva,sat_Olck,मैं स्कूल जाता हूँ,ᱤᱧ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱤᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱤᱧ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱤᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ,मैं स्कूल जाता हूँ
hin_Deva,sat_Olck,मैं गाना गाता हूँ,ᱤᱧ ᱥᱮᱨᱮᱧᱤᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱤᱧ ᱥᱮᱨᱮᱧᱤᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟ,मैं गाना गाता हूँ
hin_Deva,sat_Olck,मैं खाना खाता हूँ,ᱤᱧ ᱫᱟᱠᱟᱧ ᱡᱚᱢ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱤᱧ ᱫᱟᱠᱟᱧ ᱡᱚᱢ ᱠᱟᱱᱟ,मैं खाना खाता हूँ
hin_Deva,sat_Olck,मैं पानी पीता हूँ,ᱤᱧ ᱫᱟᱜ-ᱤᱧ ᱧᱩᱭ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱤᱧ ᱫᱟᱜ-ᱤᱧ ᱧᱩᱭ ᱠᱟᱱᱟ,मैं पानी पीता हूँ
hin_Deva,sat_Olck,मैं काम करता हूँ,ᱤᱧ ᱠᱟᱹᱢᱤᱧ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱤᱧ ᱠᱟᱹᱢᱤᱧ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ,मैं काम करता हूँ
hin_Deva,sat_Olck,मैं चित्र बनाता हूँ,ᱤᱧ ᱪᱤᱛᱟᱹᱨᱤᱧ ᱵᱮᱱᱟᱣ ᱮᱫᱟ
sat_Olck,hin_Deva,ᱤᱧ ᱪᱤᱛᱟᱹᱨᱤᱧ ᱵᱮᱱᱟᱣ ᱮᱫᱟ,मैं चित्र बनाता हूँ
hin_Deva,sat_Olck,मैं दौड़ता हूँ,ᱤᱧ ᱤᱧ ᱫᱟᱹᱲ ᱮᱫᱟ
sat_Olck,hin_Deva,ᱤᱧ ᱤᱧ ᱫᱟᱹᱲ ᱮᱫᱟ,मैं दौड़ता हूँ
hin_Deva,sat_Olck,तुम किताब पढ़ता हूँ,ᱟᱢ ᱯᱩᱛᱷᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱢ ᱯᱩᱛᱷᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ,तुम किताब पढ़ता हूँ
hin_Deva,sat_Olck,तुम स्कूल जाता हूँ,ᱟᱢ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱤᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱢ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱤᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ,तुम स्कूल जाता हूँ
hin_Deva,sat_Olck,तुम गाना गाता हूँ,ᱟᱢ ᱥᱮᱨᱮᱧᱤᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱢ ᱥᱮᱨᱮᱧᱤᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟ,तुम गाना गाता हूँ
hin_Deva,sat_Olck,तुम खाना खाता हूँ,ᱟᱢ ᱫᱟᱠᱟᱧ ᱡᱚᱢ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱢ ᱫᱟᱠᱟᱧ ᱡᱚᱢ ᱠᱟᱱᱟ,तुम खाना खाता हूँ
hin_Deva,sat_Olck,तुम पानी पीता हूँ,ᱟᱢ ᱫᱟᱜ-ᱤᱧ ᱧᱩᱭ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱢ ᱫᱟᱜ-ᱤᱧ ᱧᱩᱭ ᱠᱟᱱᱟ,तुम पानी पीता हूँ
hin_Deva,sat_Olck,तुम काम करता हूँ,ᱟᱢ ᱠᱟᱹᱢᱤᱧ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱢ ᱠᱟᱹᱢᱤᱧ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ,तुम काम करता हूँ
hin_Deva,sat_Olck,तुम चित्र बनाता हूँ,ᱟᱢ ᱪᱤᱛᱟᱹᱨᱤᱧ ᱵᱮᱱᱟᱣ ᱮᱫᱟ
sat_Olck,hin_Deva,ᱟᱢ ᱪᱤᱛᱟᱹᱨᱤᱧ ᱵᱮᱱᱟᱣ ᱮᱫᱟ,तुम चित्र बनाता हूँ
hin_Deva,sat_Olck,तुम दौड़ता हूँ,ᱟᱢ ᱤᱧ ᱫᱟᱹᱲ ᱮᱫᱟ
sat_Olck,hin_Deva,ᱟᱢ ᱤᱧ ᱫᱟᱹᱲ ᱮᱫᱟ,तुम दौड़ता हूँ
hin_Deva,sat_Olck,हम किताब पढ़ता हूँ,ᱟᱵᱚ ᱯᱩᱛᱷᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱵᱚ ᱯᱩᱛᱷᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ,हम किताब पढ़ता हूँ
hin_Deva,sat_Olck,हम स्कूल जाता हूँ,ᱟᱵᱚ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱤᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱵᱚ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱤᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ,हम स्कूल जाता हूँ
hin_Deva,sat_Olck,हम गाना गाता हूँ,ᱟᱵᱚ ᱥᱮᱨᱮᱧᱤᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱵᱚ ᱥᱮᱨᱮᱧᱤᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟ,हम गाना गाता हूँ
hin_Deva,sat_Olck,हम खाना खाता हूँ,ᱟᱵᱚ ᱫᱟᱠᱟᱧ ᱡᱚᱢ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱵᱚ ᱫᱟᱠᱟᱧ ᱡᱚᱢ ᱠᱟᱱᱟ,हम खाना खाता हूँ
hin_Deva,sat_Olck,हम पानी पीता हूँ,ᱟᱵᱚ ᱫᱟᱜ-ᱤᱧ ᱧᱩᱭ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱵᱚ ᱫᱟᱜ-ᱤᱧ ᱧᱩᱭ ᱠᱟᱱᱟ,हम पानी पीता हूँ
hin_Deva,sat_Olck,हम काम करता हूँ,ᱟᱵᱚ ᱠᱟᱹᱢᱤᱧ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱟᱵᱚ ᱠᱟᱹᱢᱤᱧ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ,हम काम करता हूँ
hin_Deva,sat_Olck,हम चित्र बनाता हूँ,ᱟᱵᱚ ᱪᱤᱛᱟᱹᱨᱤᱧ ᱵᱮᱱᱟᱣ ᱮᱫᱟ
sat_Olck,hin_Deva,ᱟᱵᱚ ᱪᱤᱛᱟᱹᱨᱤᱧ ᱵᱮᱱᱟᱣ ᱮᱫᱟ,हम चित्र बनाता हूँ
hin_Deva,sat_Olck,हम दौड़ता हूँ,ᱟᱵᱚ ᱤᱧ ᱫᱟᱹᱲ ᱮᱫᱟ
sat_Olck,hin_Deva,ᱟᱵᱚ ᱤᱧ ᱫᱟᱹᱲ ᱮᱫᱟ,हम दौड़ता हूँ
hin_Deva,sat_Olck,वह किताब पढ़ता हूँ,ᱩᱱᱤ ᱯᱩᱛᱷᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ
